PartID,ObjectName,Label,BodyID,Qty,Material,ManufacturingMethod,Mass_g,ConnectionIDs
COL-J5,J5_OUTER_COLLAR,J5 CL05M 5 mm set-screw collar,B5_TOOL,1,Zinc-plated steel collar,Purchased Motionco CL05M; 5 ID x 10 OD x 5 W,2.142,C-J5-RETENTION
HORN-J1,J1_STOCK_HORN,MG90S STEP double-arm horn,B0_BASE,1,Servo-supplied reinforced polymer horn,User STEP C:/Users/kohak/programs/robotarm/vendor/servo_cad/MG90S_HORN.step; +/-6.5 mm holes reamed 2.2 mm,0.600,C-J1-SUN-HORN
HORN-J4_SERVO,J4_SERVO_HORN,MG90S stock horn,B3_FOREARM,1,Servo-supplied reinforced polymer horn,User STEP C:/Users/kohak/programs/robotarm/vendor/servo_cad/MG90S_HORN.step; holes at +/-6.5 mm reamed for M3,0.600,C-J4-SERVO;C-J4-ACTIVE
HORN-J5,J5_STOCK_HORN,MG90S STEP double-arm horn001,B4_WRIST_PITCH,1,Servo-supplied reinforced polymer horn,User STEP C:/Users/kohak/programs/robotarm/vendor/servo_cad/MG90S_HORN.step; +/-6.5 mm holes reamed 2.2 mm,0.600,C-J5-ACTIVE
INS-BASE_M4_1,BASE_M4_1,M4 heat-set insert OD5 L6,B-1_FIXTURE,1,Brass heat-set insert,Thermal press-fit; coupon-calibrated hole,0.360,C-BASE-01
INS-BASE_M4_2,BASE_M4_2,M4 heat-set insert OD5 L007,B-1_FIXTURE,1,Brass heat-set insert,Thermal press-fit; coupon-calibrated hole,0.360,C-BASE-01
INS-BASE_M4_3,BASE_M4_3,M4 heat-set insert OD5 L008,B-1_FIXTURE,1,Brass heat-set insert,Thermal press-fit; coupon-calibrated hole,0.360,C-BASE-01
INS-BASE_M4_4,BASE_M4_4,M4 heat-set insert OD5 L009,B-1_FIXTURE,1,Brass heat-set insert,Thermal press-fit; coupon-calibrated hole,0.360,C-BASE-01
INS-J1-HORN-M2-1,J1_HORN_INSERT_M2_1,M2 heat-set insert OD3.5 L3,B1_TURNTABLE,1,Brass heat-set insert,Purchased; thermal press-fit after coupon calibration,0.165,C-J1-SUN-HORN
INS-J1-HORN-M2-2,J1_HORN_INSERT_M2_2,M2 heat-set insert OD3.5 L004,B1_TURNTABLE,1,Brass heat-set insert,Purchased; thermal press-fit after coupon calibration,0.165,C-J1-SUN-HORN
INS-J1-SERVO-1,J1_SERVO_1,M2 heat-set insert OD3.5 L005,B0_BASE,1,Brass heat-set insert,Purchased; thermal press-fit after coupon calibration,0.165,C-J1-SERVO
INS-J1-SERVO-2,J1_SERVO_2,M2 heat-set insert OD3.5 L006,B0_BASE,1,Brass heat-set insert,Purchased; thermal press-fit after coupon calibration,0.165,C-J1-SERVO
INS-J1_CASE_1,J1_CASE_1,M3 heat-set insert OD6 L4,B0_BASE,1,Brass heat-set insert,Thermal press-fit; coupon-calibrated hole,0.721,C-J1-RINGCASE
INS-J1_CASE_2,J1_CASE_2,M3 heat-set insert OD6 L005,B0_BASE,1,Brass heat-set insert,Thermal press-fit; coupon-calibrated hole,0.721,C-J1-RINGCASE
INS-J1_CASE_3,J1_CASE_3,M3 heat-set insert OD6 L006,B0_BASE,1,Brass heat-set insert,Thermal press-fit; coupon-calibrated hole,0.721,C-J1-RINGCASE
INS-J1_CASE_4,J1_CASE_4,M3 heat-set insert OD6 L007,B0_BASE,1,Brass heat-set insert,Thermal press-fit; coupon-calibrated hole,0.721,C-J1-RINGCASE
INS-J1_CASE_5,J1_CASE_5,M3 heat-set insert OD6 L008,B0_BASE,1,Brass heat-set insert,Thermal press-fit; coupon-calibrated hole,0.721,C-J1-RINGCASE
INS-J1_CASE_6,J1_CASE_6,M3 heat-set insert OD6 L009,B0_BASE,1,Brass heat-set insert,Thermal press-fit; coupon-calibrated hole,0.721,C-J1-RINGCASE
INS-J1_OUTPUT_CLAMP,J1_OUTPUT_CLAMP,M3 heat-set insert OD6 L010,B1_TURNTABLE,1,Brass heat-set insert,Thermal press-fit; coupon-calibrated hole,0.721,C-J1-OUTPUT-CLAMP
INS-J2_BRIDGE_INS_1,J2_BRIDGE_INS_1,M3 heat-set insert OD6 L022,B1_TURNTABLE,1,Brass heat-set insert,Thermal press-fit; coupon-calibrated hole,0.721,C-J2-INPUT-SUPPORT
INS-J2_BRIDGE_INS_2,J2_BRIDGE_INS_2,M3 heat-set insert OD6 L023,B1_TURNTABLE,1,Brass heat-set insert,Thermal press-fit; coupon-calibrated hole,0.721,C-J2-INPUT-SUPPORT
INS-J2_BRIDGE_INS_3,J2_BRIDGE_INS_3,M3 heat-set insert OD6 L024,B1_TURNTABLE,1,Brass heat-set insert,Thermal press-fit; coupon-calibrated hole,0.721,C-J2-INPUT-SUPPORT
INS-J2_BRIDGE_INS_4,J2_BRIDGE_INS_4,M3 heat-set insert OD6 L025,B1_TURNTABLE,1,Brass heat-set insert,Thermal press-fit; coupon-calibrated hole,0.721,C-J2-INPUT-SUPPORT
INS-J2_SERVO_1_1,J2_SERVO_1_1,M4 heat-set insert OD5 L4,B1_TURNTABLE,1,Brass heat-set insert,Thermal press-fit; coupon-calibrated hole,0.240,C-J2-SERVO
INS-J2_SERVO_1_2,J2_SERVO_1_2,M4 heat-set insert OD5 L010,B1_TURNTABLE,1,Brass heat-set insert,Thermal press-fit; coupon-calibrated hole,0.240,C-J2-SERVO
INS-J2_SERVO_2_1,J2_SERVO_2_1,M4 heat-set insert OD5 L011,B1_TURNTABLE,1,Brass heat-set insert,Thermal press-fit; coupon-calibrated hole,0.240,C-J2-SERVO
INS-J2_SERVO_2_2,J2_SERVO_2_2,M4 heat-set insert OD5 L012,B1_TURNTABLE,1,Brass heat-set insert,Thermal press-fit; coupon-calibrated hole,0.240,C-J2-SERVO
INS-J2_SHAFT_CLAMP_L,J2_SHAFT_CLAMP_L,M3 heat-set insert OD6 L011,B1_TURNTABLE,1,Brass heat-set insert,Thermal press-fit; coupon-calibrated hole,0.721,C-J2-RETENTION
INS-J2_SHAFT_CLAMP_R,J2_SHAFT_CLAMP_R,M3 heat-set insert OD6 L012,B1_TURNTABLE,1,Brass heat-set insert,Thermal press-fit; coupon-calibrated hole,0.721,C-J2-RETENTION
INS-J3_SERVO_1_1,J3_SERVO_1_1,M4 heat-set insert OD5 L013,B2_UPPER_ARM,1,Brass heat-set insert,Thermal press-fit; coupon-calibrated hole,0.240,C-J3-SERVO
INS-J3_SERVO_1_2,J3_SERVO_1_2,M4 heat-set insert OD5 L014,B2_UPPER_ARM,1,Brass heat-set insert,Thermal press-fit; coupon-calibrated hole,0.240,C-J3-SERVO
INS-J3_SERVO_2_1,J3_SERVO_2_1,M4 heat-set insert OD5 L015,B2_UPPER_ARM,1,Brass heat-set insert,Thermal press-fit; coupon-calibrated hole,0.240,C-J3-SERVO
INS-J3_SERVO_2_2,J3_SERVO_2_2,M4 heat-set insert OD5 L016,B2_UPPER_ARM,1,Brass heat-set insert,Thermal press-fit; coupon-calibrated hole,0.240,C-J3-SERVO
INS-J4_HORN_1,J4_HORN_1,M3 heat-set insert OD6 L026,B4_WRIST_PITCH,1,Brass heat-set insert,Thermal press-fit; coupon-calibrated hole,0.721,C-J4-ACTIVE
INS-J4_HORN_2,J4_HORN_2,M3 heat-set insert OD6 L027,B4_WRIST_PITCH,1,Brass heat-set insert,Thermal press-fit; coupon-calibrated hole,0.721,C-J4-ACTIVE
INS-J4_SERVO_1_1,J4_SERVO_1_1,M2 heat-set insert OD3.5 L007,B3_FOREARM,1,Brass heat-set insert,Thermal press-fit; coupon-calibrated hole,0.165,C-J4-SERVO
INS-J4_SERVO_1_2,J4_SERVO_1_2,M2 heat-set insert OD3.5 L008,B3_FOREARM,1,Brass heat-set insert,Thermal press-fit; coupon-calibrated hole,0.165,C-J4-SERVO
INS-J5-H-1-1,J5_HOUSING_INS_1_1,M3 heat-set insert OD6 L017,B4_WRIST_PITCH,1,Brass heat-set insert,Thermal press-fit,0.721,C-J5-HOUSING
INS-J5-H-1-2,J5_HOUSING_INS_1_2,M3 heat-set insert OD6 L018,B4_WRIST_PITCH,1,Brass heat-set insert,Thermal press-fit,0.721,C-J5-HOUSING
INS-J5-H-2-1,J5_HOUSING_INS_2_1,M3 heat-set insert OD6 L019,B4_WRIST_PITCH,1,Brass heat-set insert,Thermal press-fit,0.721,C-J5-HOUSING
INS-J5-H-2-2,J5_HOUSING_INS_2_2,M3 heat-set insert OD6 L020,B4_WRIST_PITCH,1,Brass heat-set insert,Thermal press-fit,0.721,C-J5-HOUSING
INS-J5-SERVO-1,J5_SERVO_1,M2 heat-set insert OD3.5 L009,B4_WRIST_PITCH,1,Brass heat-set insert,Thermal press-fit after coupon calibration,0.165,C-J5-SERVO
INS-J5-SERVO-2,J5_SERVO_2,M2 heat-set insert OD3.5 L010,B4_WRIST_PITCH,1,Brass heat-set insert,Thermal press-fit after coupon calibration,0.165,C-J5-SERVO
INS-J5_TOOL_CLAMP,J5_TOOL_CLAMP,M3 heat-set insert OD6 L021,B5_TOOL,1,Brass heat-set insert,Thermal press-fit; coupon-calibrated hole,0.721,C-J5-TOOL
INS-UA_SPACER_1_L,UA_SPACER_1_L,M3 heat-set insert OD6 L013,B2_UPPER_ARM,1,Brass heat-set insert,Thermal press-fit; coupon-calibrated hole,0.721,C-UA-CROSS
INS-UA_SPACER_1_R,UA_SPACER_1_R,M3 heat-set insert OD6 L014,B2_UPPER_ARM,1,Brass heat-set insert,Thermal press-fit; coupon-calibrated hole,0.721,C-UA-CROSS
INS-UA_SPACER_2_L,UA_SPACER_2_L,M3 heat-set insert OD6 L015,B2_UPPER_ARM,1,Brass heat-set insert,Thermal press-fit; coupon-calibrated hole,0.721,C-UA-CROSS
INS-UA_SPACER_2_R,UA_SPACER_2_R,M3 heat-set insert OD6 L016,B2_UPPER_ARM,1,Brass heat-set insert,Thermal press-fit; coupon-calibrated hole,0.721,C-UA-CROSS
NUT-J5-HORN-M2-1,J5_HORN_NUT_M2_1,M2 prevailing-torque nut,B5_TOOL,1,Steel locknut,Purchased,0.126,C-J5-ACTIVE
NUT-J5-HORN-M2-2,J5_HORN_NUT_M2_2,M2 prevailing-torque nut001,B5_TOOL,1,Steel locknut,Purchased,0.126,C-J5-ACTIVE
PR-B01,BASE_PLATE,Base plate OD88 pocketed for exact MG90S STEP body,B0_BASE,1,Fiberon PA12-CF10,FDM; 8 perimeters; 35% gyroid; M2 pillar coupon required,36.238,C-BASE-01;C-J1-SERVO
PR-E01,GRIPPER_CRADLE,One-piece compact gripper cradle,B5_TOOL,1,Fiberon PA12-CF10,FDM; 6 perimeters; one-piece cradle,5.560,C-TOOL-01;C-J5-TOOL
PR-HUB-J4,J4_HORN_SPACER,J4 STEP-horn receiver bridge,B4_WRIST_PITCH,1,Fiberon PA12-CF10,FDM; 8 perimeters; flat receiver for MG90S STEP horn,2.025,C-J4-ACTIVE
PR-HUB-J5,J5_HORN_SHAFT_ADAPTER,J5 horn-to-5mm shaft adapter,B5_TOOL,1,Fiberon PA12-CF10,FDM; 10 perimeters; ream 5H8,0.979,C-J5-ACTIVE
PR-J1-R_J1_CarrierLower,V8_R_J1_CarrierLower,V7 lower carrier; 5 mm planet shafts V8,B1_TURNTABLE,1,Fiberon PA12-CF10,FDM,5.155,C-J1-TRANSMISSION
PR-J1-R_J1_CarrierUpper,V8_R_J1_CarrierUpper,V7 upper carrier; 5 mm planet shafts V8,B1_TURNTABLE,1,Fiberon PA12-CF10,FDM,5.857,C-J1-TRANSMISSION
PR-J1-R_J1_LowerHousing,V8_R_J1_LowerHousing,J1 compact lower case OD84; six M3 inserts,B0_BASE,1,Fiberon PA12-CF10,FDM,5.857,C-J1-TRANSMISSION;C-J1-RINGCASE
PR-J1-R_J1_M5Shaft,V8_R_J1_M5Shaft,J1 5 mm output shaft cut 18 mm,B1_TURNTABLE,1,Steel shaft,Purchased/cut,2.774,C-J1-TRANSMISSION
PR-J1-R_J1_Planet1,V8_R_J1_Planet1,"V7 24T m1.0 involute planet 1, F685 press-fit V8",B1_TURNTABLE,1,PA12,FDM,3.647,C-J1-TRANSMISSION;C-J1-P1
PR-J1-R_J1_Planet2,V8_R_J1_Planet2,"V7 24T m1.0 involute planet 2, F685 press-fit V8",B1_TURNTABLE,1,PA12,FDM,3.647,C-J1-TRANSMISSION;C-J1-P2
PR-J1-R_J1_Planet3,V8_R_J1_Planet3,"V7 24T m1.0 involute planet 3, F685 press-fit V8",B1_TURNTABLE,1,PA12,FDM,3.647,C-J1-TRANSMISSION;C-J1-P3
PR-J1-R_J1_RingGear,V8_R_J1_RingGear,"V7 60T internal involute ring, 12 mm face V8",B0_BASE,1,PA12,FDM,19.184,C-J1-TRANSMISSION;C-J1-RINGCASE
PR-J1-R_J1_SunGear,V8_R_J1_SunGear,"V7 12T m1.0 involute sun, 12 mm face V8",B1_TURNTABLE,1,PA12,FDM,1.698,C-J1-TRANSMISSION;C-J1-SUN-HORN
PR-J1-R_J1_Turntable,V8_R_J1_Turntable,Compact turntable 74 x 64 envelope,B1_TURNTABLE,1,Fiberon PA12-CF10,FDM,85.777,C-J1-TRANSMISSION;C-J1-DECK;C-J2-SERVO;C-J2-OUTPUT-BEARINGS;C-J2-INPUT-SUPPORT;C-J1-OUTPUT-CLAMP;C-J2-RETENTION;C-J2-SERVO
PR-J1-R_J1_UpperHousing,V8_R_J1_UpperHousing,J1 compact upper case OD84; six M3 clearances,B0_BASE,1,Fiberon PA12-CF10,FDM,3.798,C-J1-TRANSMISSION;C-J1-RINGCASE
PR-J2-IN-BRIDGE,J2_INPUT_BEARING_BRIDGE,J2 slotted dual-F685 input bridge,B1_TURNTABLE,1,Fiberon PA12-CF10,FDM; 10 perimeters; press-fit F685 seats 10.96 mm plus flange counterbores; +/-1 mm alignment slots,2.693,C-J2-INPUT-SUPPORT
PR-J2-P16,J2_DRIVER_16T,J2 printed 16T 3GT x 9 driver with split clamp,B1_TURNTABLE,1,PA12,FDM; printed flat; tooth and split-clamp coupons required,1.093,C-J2-BELT;C-J2-INPUT-SUPPORT
PR-L01,UPPER_ARM_L,UPPER ARM L,B2_UPPER_ARM,1,Fiberon PA12-CF10,FDM; 6 perimeters; plates printed flat,4.504,C-J2-OUTPUT-BEARINGS;C-J3-PASSIVE;C-UA-CROSS
PR-L02,UPPER_ARM_R,UPPER ARM R,B2_UPPER_ARM,1,Fiberon PA12-CF10,FDM; 6 perimeters; plates printed flat,4.504,C-J2-BELT;C-J2-OUTPUT-BEARINGS;C-J3-SERVO;C-J3-PASSIVE;C-UA-CROSS;C-J3-SERVO
PR-L03,FOREARM_L,FOREARM L,B3_FOREARM,1,Fiberon PA12-CF10,FDM; 6 perimeters; plates printed flat,4.504,C-J3-ACTIVE;C-J4-PASSIVE;C-J4-SERVO
PR-L04,FOREARM_R,FOREARM R,B3_FOREARM,1,Fiberon PA12-CF10,FDM; 6 perimeters; plates printed flat,4.504,C-J3-PASSIVE;C-J4-SERVO
PR-UA-SP-1,UPPER_ARM_SPACER_1,Upper-arm M3 cross-spacer 1,B2_UPPER_ARM,1,Fiberon PA12-CF10,FDM flat; 8 perimeters; M3 inserts both ends,5.251,C-UA-CROSS
PR-UA-SP-2,UPPER_ARM_SPACER_2,Upper-arm M3 cross-spacer 2,B2_UPPER_ARM,1,Fiberon PA12-CF10,FDM flat; 8 perimeters; M3 inserts both ends,5.251,C-UA-CROSS
PR-W01,WRIST_PITCH_L,WRIST PITCH L,B4_WRIST_PITCH,1,Fiberon PA12-CF10,FDM; 6 perimeters; plates printed flat,2.672,C-J4-PASSIVE;C-J5-HOUSING
PR-W02,WRIST_PITCH_R,WRIST PITCH R,B4_WRIST_PITCH,1,Fiberon PA12-CF10,FDM; 6 perimeters; plates printed flat,2.672,C-J4-ACTIVE;C-J5-HOUSING;C-J5-SERVO
PR-W03,J5_BEARING_HOUSING,J5 dual-bearing housing,B4_WRIST_PITCH,1,Fiberon PA12-CF10,FDM; 8 perimeters; bearing bores reamed,26.378,C-J5-HOUSING;C-J5-BRG
SCR-BASE_M4X12_1,BASE_M4X12_1,M4x12 low-head screw,B0_BASE,1,Steel A2-70,Purchased,1.788,C-BASE-01
SCR-BASE_M4X12_2,BASE_M4X12_2,M4x12 low-head screw001,B0_BASE,1,Steel A2-70,Purchased,1.788,C-BASE-01
SCR-BASE_M4X12_3,BASE_M4X12_3,M4x12 low-head screw002,B0_BASE,1,Steel A2-70,Purchased,1.788,C-BASE-01
SCR-BASE_M4X12_4,BASE_M4X12_4,M4x12 low-head screw003,B0_BASE,1,Steel A2-70,Purchased,1.788,C-BASE-01
SCR-J1-HORN-CENTER,J1_HORN_CENTER_SCREW,MG90S supplied horn center screw,B0_BASE,1,Steel servo screw,User STEP C:/Users/kohak/programs/robotarm/vendor/servo_cad/MG90S_SERVO.step,0.234,C-J1-SUN-HORN
SCR-J1-HORN-M2-1,J1_HORN_M2_1,M2x7 horn screw,B1_TURNTABLE,1,Steel A2-70,Purchased M2x7 screw,0.321,C-J1-SUN-HORN
SCR-J1-HORN-M2-2,J1_HORN_M2_2,M2x7 horn screw001,B1_TURNTABLE,1,Steel A2-70,Purchased M2x7 screw,0.321,C-J1-SUN-HORN
SCR-J1-SERVO-1,J1_SERVO_M2_1,M2x8 low-head servo screw,B0_BASE,1,Steel A2-70,Purchased M2x8,0.345,C-J1-SERVO
SCR-J1-SERVO-2,J1_SERVO_M2_2,M2x8 low-head servo screw001,B0_BASE,1,Steel A2-70,Purchased M2x8,0.345,C-J1-SERVO
SCR-J1_CASE_M3X20_1,J1_CASE_M3X20_1,M3x20 low-head screw,B0_BASE,1,Steel A2-70,Purchased,1.554,C-J1-RINGCASE
SCR-J1_CASE_M3X20_2,J1_CASE_M3X20_2,M3x20 low-head screw001,B0_BASE,1,Steel A2-70,Purchased,1.554,C-J1-RINGCASE
SCR-J1_CASE_M3X20_3,J1_CASE_M3X20_3,M3x20 low-head screw002,B0_BASE,1,Steel A2-70,Purchased,1.554,C-J1-RINGCASE
SCR-J1_CASE_M3X20_4,J1_CASE_M3X20_4,M3x20 low-head screw003,B0_BASE,1,Steel A2-70,Purchased,1.554,C-J1-RINGCASE
SCR-J1_CASE_M3X20_5,J1_CASE_M3X20_5,M3x20 low-head screw004,B0_BASE,1,Steel A2-70,Purchased,1.554,C-J1-RINGCASE
SCR-J1_CASE_M3X20_6,J1_CASE_M3X20_6,M3x20 low-head screw005,B0_BASE,1,Steel A2-70,Purchased,1.554,C-J1-RINGCASE
SCR-J1_OUTPUT_CLAMP_M3,J1_OUTPUT_CLAMP_M3,M3x15 low-head screw,B1_TURNTABLE,1,Steel A2-70,Purchased,1.276,C-J1-OUTPUT-CLAMP
SCR-J2_BRIDGE_M3_1,J2_BRIDGE_M3_1,M3x12 low-head screw,B1_TURNTABLE,1,Steel A2-70,Purchased,1.110,C-J2-INPUT-SUPPORT
SCR-J2_BRIDGE_M3_2,J2_BRIDGE_M3_2,M3x12 low-head screw001,B1_TURNTABLE,1,Steel A2-70,Purchased,1.110,C-J2-INPUT-SUPPORT
SCR-J2_BRIDGE_M3_3,J2_BRIDGE_M3_3,M3x12 low-head screw002,B1_TURNTABLE,1,Steel A2-70,Purchased,1.110,C-J2-INPUT-SUPPORT
SCR-J2_BRIDGE_M3_4,J2_BRIDGE_M3_4,M3x12 low-head screw003,B1_TURNTABLE,1,Steel A2-70,Purchased,1.110,C-J2-INPUT-SUPPORT
SCR-J2_SERVO_M4_1_1,J2_SERVO_M4_1_1,M4x12 low-head screw004,B1_TURNTABLE,1,Steel A2-70,Purchased,1.788,C-J2-SERVO
SCR-J2_SERVO_M4_1_2,J2_SERVO_M4_1_2,M4x12 low-head screw005,B1_TURNTABLE,1,Steel A2-70,Purchased,1.788,C-J2-SERVO
SCR-J2_SERVO_M4_2_1,J2_SERVO_M4_2_1,M4x12 low-head screw006,B1_TURNTABLE,1,Steel A2-70,Purchased,1.788,C-J2-SERVO
SCR-J2_SERVO_M4_2_2,J2_SERVO_M4_2_2,M4x12 low-head screw007,B1_TURNTABLE,1,Steel A2-70,Purchased,1.788,C-J2-SERVO
SCR-J2_SHAFT_CLAMP_M3_L,J2_SHAFT_CLAMP_M3_L,M3x17 low-head screw,B1_TURNTABLE,1,Steel A2-70,Purchased,1.387,C-J2-RETENTION
SCR-J2_SHAFT_CLAMP_M3_R,J2_SHAFT_CLAMP_M3_R,M3x17 low-head screw001,B1_TURNTABLE,1,Steel A2-70,Purchased,1.387,C-J2-RETENTION
SCR-J3_SERVO_M4_1_1,J3_SERVO_M4_1_1,M4x11 low-head screw,B2_UPPER_ARM,1,Steel A2-70,Purchased,1.689,C-J3-SERVO
SCR-J3_SERVO_M4_1_2,J3_SERVO_M4_1_2,M4x11 low-head screw001,B2_UPPER_ARM,1,Steel A2-70,Purchased,1.689,C-J3-SERVO
SCR-J3_SERVO_M4_2_1,J3_SERVO_M4_2_1,M4x11 low-head screw002,B2_UPPER_ARM,1,Steel A2-70,Purchased,1.689,C-J3-SERVO
SCR-J3_SERVO_M4_2_2,J3_SERVO_M4_2_2,M4x11 low-head screw003,B2_UPPER_ARM,1,Steel A2-70,Purchased,1.689,C-J3-SERVO
SCR-J4-HORN-CENTER,J4_HORN_CENTER_SCREW,MG90S supplied horn center screw002,B3_FOREARM,1,Steel servo screw,User STEP C:/Users/kohak/programs/robotarm/vendor/servo_cad/MG90S_SERVO.step,0.234,C-J4-ACTIVE
SCR-J4_HORN_M3_1,J4_HORN_M3_1,M3x15 low-head screw002,B4_WRIST_PITCH,1,Steel A2-70,Purchased,1.276,C-J4-ACTIVE
SCR-J4_HORN_M3_2,J4_HORN_M3_2,M3x15 low-head screw003,B4_WRIST_PITCH,1,Steel A2-70,Purchased,1.276,C-J4-ACTIVE
SCR-J4_SERVO_M2_1_1,J4_SERVO_M2_1_1,M2x8 low-head screw,B3_FOREARM,1,Steel A2-70,Purchased,0.395,C-J4-SERVO
SCR-J4_SERVO_M2_1_2,J4_SERVO_M2_1_2,M2x8 low-head screw001,B3_FOREARM,1,Steel A2-70,Purchased,0.395,C-J4-SERVO
SCR-J5-H-1-1,J5_HOUSING_M3_1_1,M3x16 low-head housing screw,B4_WRIST_PITCH,1,Steel A2-70,Purchased,1.332,C-J5-HOUSING
SCR-J5-H-1-2,J5_HOUSING_M3_1_2,M3x16 low-head housing screw001,B4_WRIST_PITCH,1,Steel A2-70,Purchased,1.332,C-J5-HOUSING
SCR-J5-H-2-1,J5_HOUSING_M3_2_1,M3x16 low-head housing screw002,B4_WRIST_PITCH,1,Steel A2-70,Purchased,1.332,C-J5-HOUSING
SCR-J5-H-2-2,J5_HOUSING_M3_2_2,M3x16 low-head housing screw003,B4_WRIST_PITCH,1,Steel A2-70,Purchased,1.332,C-J5-HOUSING
SCR-J5-HORN-CENTER,J5_HORN_CENTER_SCREW,MG90S supplied horn center screw001,B4_WRIST_PITCH,1,Steel servo screw,User STEP C:/Users/kohak/programs/robotarm/vendor/servo_cad/MG90S_SERVO.step,0.234,C-J5-ACTIVE
SCR-J5-HORN-M2-1,J5_HORN_M2_1,M2x5 horn adapter bolt,B5_TOOL,1,Steel A2-70,Purchased M2x5 screw + locknut,0.271,C-J5-ACTIVE
SCR-J5-HORN-M2-2,J5_HORN_M2_2,M2x5 horn adapter bolt001,B5_TOOL,1,Steel A2-70,Purchased M2x5 screw + locknut,0.271,C-J5-ACTIVE
SCR-J5-SERVO-1,J5_SERVO_M2_1,M2x8 low-head servo screw002,B4_WRIST_PITCH,1,Steel A2-70,Purchased M2x8,0.345,C-J5-SERVO
SCR-J5-SERVO-2,J5_SERVO_M2_2,M2x8 low-head servo screw003,B4_WRIST_PITCH,1,Steel A2-70,Purchased M2x8,0.345,C-J5-SERVO
SCR-J5_TOOL_CLAMP_M3,J5_TOOL_CLAMP_M3,M3x15 low-head screw001,B5_TOOL,1,Steel A2-70,Purchased,1.276,C-J5-TOOL
SCR-UA_SPACER_M3_1_L,UA_SPACER_M3_1_L,M3x9 low-head screw,B2_UPPER_ARM,1,Steel A2-70,Purchased,0.943,C-UA-CROSS
SCR-UA_SPACER_M3_1_R,UA_SPACER_M3_1_R,M3x9 low-head screw001,B2_UPPER_ARM,1,Steel A2-70,Purchased,0.943,C-UA-CROSS
SCR-UA_SPACER_M3_2_L,UA_SPACER_M3_2_L,M3x9 low-head screw002,B2_UPPER_ARM,1,Steel A2-70,Purchased,0.943,C-UA-CROSS
SCR-UA_SPACER_M3_2_R,UA_SPACER_M3_2_R,M3x9 low-head screw003,B2_UPPER_ARM,1,Steel A2-70,Purchased,0.943,C-UA-CROSS
